97	238
bacteroidetes	hypertension:1
basidiomycota	iv_VitD:1
vintageyrs	IsReuse:1
vintageyrs	hypertension:1
candida	hemoglobinval
basidiomycota	nrf2
phosval	tnfa
ascomycota	candida
itschao1	basidiomycota
vintageyrs	PatientRace_cat:1
ascomycota	iv_VitD:1
cdkn2a	dialyzer_type:2
cladosporium	CCI:3
PostSittingSystolicBP	Cinacalcet:1
richness	creatval
PostSittingSystolicBP	Calcium_Acetate:1
candida	potval
cdkn2a	phosphate_binder:1
cladosporium	potval
TargetDryWeightKg	ModelKOA:Rev
bacteroidetes	VitaminD:1
bDNA_copy_n	TemperaturePost
ALKPHOSval	nrf2
Charlson	causeofESRD:1
vintageyrs	Opioids:0
its_copy_n	ModelKOA:21R
Procalcitonin	CCI:2
PostSittingDiastolicBP	CALCIUMval
nfkb	ModelKOA:RvC
Sevelamer:1	Statin:0
Statin:0	ModelKOA:Rev
ascomycota	PatientRace_cat:1
simpsons	IHD:0
cdkn2a	nfkb
creatval	CCI:2
cladosporium	Vasodilator_Agents:1
potval	CCI:1
vintageyrs	CCI:0
PatientHeightInches	HTxRuntimeMinutes
cladosporium	Opioids:0
phosval	VitaminD_analogs:1
PatientGender_cat:1	causeofESRD:1
richness	IHD:0
creatval	nfkb
bDNA_copy_n	simpsons
candida	cladosporium
Procalcitonin	IHD:0
HTxRuntimeMinutes	DWOC:1
ascomycota	PatientRace_cat:2
PatientAgeYears	PreSittingSystolicBP
hemoglobinval	HTxRuntimeMinutes
PreSittingSystolicBP	PostSittingSystolicBP
BMI_PreKg	crp
ALBval	iv_iron:0
actinobacteria	fusobacteria
hemoglobinval	CCI:2
vintageyrs	Procalcitonin
ascomycota	Aspirin:1
bDNA_copy_n	hemoglobinval
CALCIUMval	VitaminD_analogs:1
aspergillus	dialyzer_type:3
ManufacturerDialyzer:GAMBRO	dialyzer_type:3
ManufacturerDialyzer:GAMBRO	ModelKOA:180
VitaminD:1	dialyzer_type:3
MLD:0	VitaminD:1
Aspirin:1	Lanthanum:1
Lanthanum:1	Access_category:1
CHF:0	Lanthanum:1
CHF:0	ModelKOA:180
causeofESRD:3	IHD:0
CHF:0	Vasodilator_Agents:1
Lanthanum:1	VitaminD:1
Aspirin:1	dialyzer_type:3
IHD:0	Vasodilator_Agents:1
Lanthanum:1	ManufacturerDialyzer:GAMBRO
MLD:0	Access_category:1
IHD:0	Lanthanum:1
nfkb	ModelKOA:Rev
PatientHeightInches	phosphate_binder:1
Charlson	IHD:0
TargetDryWeightKg	crp
PTHval	ModelKOA:21R
nfkb	PatientRace_cat:2
creatval	Lanthanum:1
candida	PatientAgeYears
bacteroidetes	CCI:2
DWOC:1	DWC:0
ascomycota	DIABALL:0
FERRITINval	CHF:0
bDNA_copy_n	mcp1
nfkb	PatientRace_cat:1
hypertension:1	Access_category:1
hypertension:1	IHD:0
richness	fusarium
simpsons	fusarium
aspergillus	il6
PatientRace_cat:1	CCI:0
CCI:0	Opioids:0
DIABALL:0	alpha2_agonists:1
evenness	Aspirin:1
richness	PreSittingDiastolicBP
firmicutes	VitaminD_analogs:1
TemperaturePre	PatientRace_cat:3
proteobacteria	dialyzer_type:2
cdkn2a	DIABALL:0
il6	PatientGender_cat:1
creatval	Procalcitonin
hemoglobinval	phosphate_binder:1
evenness	bacteroidetes
cladosporium	PatientGender_cat:1
PatientHeightInches	il6
DIABALL:0	analgesics:1
phosphate_binder:1	Access_category:2
hyperlipidemia:1	Antacids:0
CCI:3	Opioids:0
Opioids:0	analgesics:1
DIABALL:0	iv_VitD:1
cdkn2a	nrf2
PatientHeightInches	dialyzer_type:2
candida	PreSittingDiastolicBP
fusarium	mcp1
creatval	Opioids:0
PreSittingDiastolicBP	PreSittingSystolicBP
simpsons	CCI:1
itschao1	PatientRace_cat:2
crp	DIABALL:0
itschao1	ascomycota
PatientHeightInches	nfkb
PostSittingDiastolicBP	VitaminD_analogs:1
